06/05/2022 19:19:40 MQTT-APP:  app/inicio 60.
06/05/2022 19:19:40 MQTT-NODO: test/logEsp Archivo:: <A1651875580125.csv>.  --> vibracion celular
06/05/2022 19:19:40 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:41 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:41 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:42 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:43 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:43 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:44 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:44 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:45 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:46 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:46 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:47 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:48 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:48 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:49 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:49 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:50 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:51 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:51 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:52 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:52 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:53 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:54 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:54 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:55 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:55 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:56 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:57 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:57 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:58 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:59 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:19:59 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:00 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:00 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:01 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:02 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:02 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:03 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:03 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:04 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:05 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:05 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:06 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:06 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:07 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:08 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:08 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:09 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:09 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:10 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:11 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:11 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:12 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:13 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:13 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:14 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:14 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:15 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:16 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:16 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:17 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:17 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:18 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:19 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:19 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:20 MQTT-NODO: test/logEsp test/alarmas: <4>.
06/05/2022 19:20:20 MQTT-NODO: test/logEsp test/alarmas: <4>.
